# ells, ksz, tsz, cib, radio
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 7.572811885480931759e-02 1.136844713757841768e-01 3.445182130381708281e-05 6.966057230187517596e-07
3.000000000000000000e+00 3.810306024082418808e-02 5.684223568789208841e-02 1.732078734448608010e-05 3.529838398935230167e-07
4.000000000000000000e+00 2.300523717291920803e-02 3.410534141273525305e-02 1.046833945878027911e-05 2.155259750945829372e-07
5.000000000000000000e+00 1.543242483712746124e-02 2.273689427515683190e-02 7.042288102221329433e-06 1.467958979451843558e-07
6.000000000000000000e+00 1.109144635164912435e-02 1.624063876796916564e-02 5.084426216766202491e-06 1.075206560413901954e-07
7.000000000000000000e+00 8.369799079012550658e-03 1.218047907597687510e-02 3.860688171449038972e-06 8.296459324608737844e-08
8.000000000000000000e+00 6.549677459705433719e-03 9.473705947982014736e-03 3.044884197708561712e-06 6.659110730814319607e-08
9.000000000000000000e+00 5.271608652824787827e-03 7.578964758385611789e-03 2.473732932985053318e-06 5.512202720073007384e-08
1.000000000000000000e+01 4.339207094633367422e-03 6.200971165951864664e-03 2.058306504854713984e-06 4.677376319363119544e-08
1.100000000000000000e+01 3.637733197462955474e-03 5.167475971626553019e-03 1.746727109986605468e-06 4.050932894277527262e-08
1.200000000000000000e+01 3.096466735507682946e-03 4.372479668299391817e-03 1.507046901855094921e-06 3.568549313151936811e-08
1.300000000000000000e+01 2.669872595574935507e-03 3.747839715685192738e-03 1.318688855782863306e-06 3.188977121220586012e-08
1.400000000000000000e+01 2.327546733571798573e-03 3.248127753593833995e-03 1.167953492917812014e-06 2.884779983028173923e-08
1.500000000000000000e+01 2.048553398772988855e-03 2.842111784394603987e-03 1.045486135619254759e-06 2.636963956151990348e-08
1.600000000000000000e+01 1.818091339630903674e-03 2.507745692112886126e-03 9.445632209698884221e-07 2.432418316519954760e-08
1.700000000000000000e+01 1.625453745212566796e-03 2.229107281878121242e-03 8.604614784495562565e-07 2.261363915669183473e-08
1.800000000000000000e+01 1.462739320732411993e-03 1.994464410101476695e-03 7.896211673848487287e-07 2.116923540867381071e-08
1.900000000000000000e+01 1.324012619233228124e-03 1.795017969091329199e-03 7.293934210094264350e-07 1.993579690438690647e-08
2.000000000000000000e+01 1.204745140657047329e-03 1.624063876796916998e-03 6.777385313153025064e-07 1.887395415271119885e-08
