# ells, tt, te, ee, bb
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.894477928118284971e-01 0.000000000000000000e+00 1.083084163373428022e-07 2.443708926638390076e-06
3.000000000000000000e+00 9.496302385410908264e-02 0.000000000000000000e+00 1.083084168538174757e-07 2.443709292075266748e-06
4.000000000000000000e+00 5.712131660529712329e-02 0.000000000000000000e+00 1.083084175768820028e-07 2.443709803686985314e-06
5.000000000000000000e+00 3.817656235049371460e-02 0.000000000000000000e+00 1.083084185065363834e-07 2.443710461473637677e-06
6.000000000000000000e+00 2.733733122070091878e-02 0.000000000000000000e+00 1.083084196427806704e-07 2.443711265435341999e-06
7.000000000000000000e+00 2.055427596196461593e-02 0.000000000000000000e+00 1.083084209856148110e-07 2.443712215572243122e-06
8.000000000000000000e+00 1.602654903720373419e-02 0.000000000000000000e+00 1.083084225350388580e-07 2.443713311884511299e-06
9.000000000000000000e+00 1.285315642038273136e-02 0.000000000000000000e+00 1.083084242910527851e-07 2.443714554372343043e-06
1.000000000000000000e+01 1.054233749506640859e-02 0.000000000000000000e+00 1.083084262536566186e-07 2.443715943035961123e-06
1.100000000000000000e+01 8.807050559742650095e-03 0.000000000000000000e+00 1.083084284228504115e-07 2.443717477875614990e-06
1.200000000000000000e+01 7.470543290417460541e-03 0.000000000000000000e+00 1.083084307986340844e-07 2.443719158891579929e-06
1.300000000000000000e+01 6.419117044103813709e-03 0.000000000000000000e+00 1.083084333810077697e-07 2.443720986084158333e-06
1.400000000000000000e+01 5.576925442676465734e-03 0.000000000000000000e+00 1.083084361699713614e-07 2.443722959453676731e-06
1.500000000000000000e+01 4.891791193162356270e-03 0.000000000000000000e+00 1.083084391655249257e-07 2.443725079000490878e-06
1.600000000000000000e+01 4.326860073369108613e-03 0.000000000000000000e+00 1.083084423676685289e-07 2.443727344724979820e-06
1.700000000000000000e+01 3.855498256431182449e-03 0.000000000000000000e+00 1.083084457764021180e-07 2.443729756627550982e-06
1.800000000000000000e+01 3.458068675461378142e-03 0.000000000000000000e+00 1.083084493917257326e-07 2.443732314708636349e-06
1.900000000000000000e+01 3.119834071769077809e-03 0.000000000000000000e+00 1.083084532136394258e-07 2.443735018968695437e-06
2.000000000000000000e+01 2.829559784168053562e-03 0.000000000000000000e+00 1.083084572421431578e-07 2.443737869408213595e-06
