# ells, tt, te, ee, bb
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.262854620014771112e-01 0.000000000000000000e+00 4.696559664979310868e-08 1.314520030118180893e-06
3.000000000000000000e+00 6.571197177585201554e-02 0.000000000000000000e+00 4.696559710491072721e-08 1.314520382070102674e-06
4.000000000000000000e+00 4.095230339192122704e-02 0.000000000000000000e+00 4.696559774207537991e-08 1.314520874802924119e-06
5.000000000000000000e+00 2.830738243959155659e-02 0.000000000000000000e+00 4.696559856128711973e-08 1.314521508316778423e-06
6.000000000000000000e+00 2.093027045124936161e-02 0.000000000000000000e+00 4.696559956254590696e-08 1.314522282611833511e-06
7.000000000000000000e+00 1.622495012012297941e-02 0.000000000000000000e+00 4.696560074585178131e-08 1.314523197688297753e-06
8.000000000000000000e+00 1.302500691812875401e-02 0.000000000000000000e+00 4.696560211120471630e-08 1.314524253546415306e-06
9.000000000000000000e+00 1.074091905202118231e-02 0.000000000000000000e+00 4.696560365860475165e-08 1.314525450186469292e-06
1.000000000000000000e+01 9.047684891373433680e-03 0.000000000000000000e+00 4.696560538805191381e-08 1.314526787608779252e-06
1.100000000000000000e+01 7.753710983386871529e-03 0.000000000000000000e+00 4.696560729954620280e-08 1.314528265813702848e-06
1.200000000000000000e+01 6.739857253488186310e-03 0.000000000000000000e+00 4.696560939308764507e-08 1.314529884801635643e-06
1.300000000000000000e+01 5.928738817893574285e-03 0.000000000000000000e+00 4.696561166867625387e-08 1.314531644573010894e-06
1.400000000000000000e+01 5.268235863517952040e-03 0.000000000000000000e+00 4.696561412631204243e-08 1.314533545128298705e-06
1.500000000000000000e+01 4.722151719103576985e-03 0.000000000000000000e+00 4.696561676599504384e-08 1.314535586468008778e-06
1.600000000000000000e+01 4.264678640401391684e-03 0.000000000000000000e+00 4.696561958772525810e-08 1.314537768592685544e-06
1.700000000000000000e+01 3.876991979562133869e-03 0.000000000000000000e+00 4.696562259150276461e-08 1.314540091502914089e-06
1.800000000000000000e+01 3.545084096051591589e-03 0.000000000000000000e+00 4.696562577732754353e-08 1.314542555199315079e-06
1.900000000000000000e+01 3.258346623932514233e-03 0.000000000000000000e+00 4.696562914519964779e-08 1.314545159682547928e-06
2.000000000000000000e+01 3.008618800177212046e-03 0.000000000000000000e+00 4.696563269511910386e-08 1.314547904953309320e-06
