# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069685587407501771e+03 2.762418538150680725e+00 3.258291889027296884e-02 2.083368817904047844e-07 7.885221061517455677e-08
3.000000000000000000e+00 5.065765057892601817e+02 1.549125506557143650e+00 2.093982150195794478e-02 2.084076401498108662e-07 9.586749618840164083e-08
4.000000000000000000e+00 2.877516681241760921e+02 8.718913120931096605e-01 1.092092247661369080e-02 2.085013808425509492e-07 1.104017840995817284e-07
5.000000000000000000e+00 1.837247599902006812e+02 4.950319920524415274e-01 4.874523749967000358e-03 2.086175918047607830e-07 1.230040867934046726e-07
6.000000000000000000e+00 1.272646578860982913e+02 2.850345161392829896e-01 1.952074456512485623e-03 2.087556397726914139e-07 1.339992533213511701e-07
7.000000000000000000e+00 9.367936884019556487e+01 1.681237497587714791e-01 7.905180585399938526e-04 2.089147746017610469e-07 1.436778680442549788e-07
8.000000000000000000e+00 7.192277740029209099e+01 1.031305665541416977e-01 3.948304494859619456e-04 2.090941348306396196e-07 1.522433279132078633e-07
9.000000000000000000e+00 5.721203435289321959e+01 6.775573664314409050e-02 2.526066377221607780e-04 2.092927533366712948e-07 1.598675855898914157e-07
1.000000000000000000e+01 4.677874449336568574e+01 4.865333192327965517e-02 1.759228463739383153e-04 2.095095643291848574e-07 1.666589800674598651e-07
1.100000000000000000e+01 3.910115917728272450e+01 3.842899088273479119e-02 1.230509676131833537e-04 2.097434107064183105e-07 1.727649215935253070e-07
1.200000000000000000e+01 3.322881063782881483e+01 3.281127783953335930e-02 9.055302477645065147e-05 2.099930521075929008e-07 1.781912238327521559e-07
1.300000000000000000e+01 2.873038822333028008e+01 2.948056464955662107e-02 7.432385080600792111e-05 2.102571735167041998e-07 1.830984873810787557e-07
1.400000000000000000e+01 2.512999893695540621e+01 2.716802216255825159e-02 6.691336111909275994e-05 2.105343943226204742e-07 1.874700319509673877e-07
