# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069685573427161444e+03 2.762418538240836607e+00 3.258288092498842076e-02 1.703715951796867621e-07 7.885221061517455677e-08
3.000000000000000000e+00 5.065764918192609230e+02 1.549125506758256332e+00 2.093978353638621670e-02 1.704420581043281321e-07 9.586749618840164083e-08
4.000000000000000000e+00 2.877516541679402167e+02 8.718913124403360193e-01 1.092088451066991830e-02 1.705354061527096925e-07 1.104017840995817284e-07
5.000000000000000000e+00 1.837247460511283066e+02 4.950319925807225574e-01 4.874485783575585943e-03 1.706511283446295672e-07 1.230040867934046726e-07
6.000000000000000000e+00 1.272646439675630461e+02 2.850345168828050668e-01 1.952036489609338624e-03 1.707885927641399577e-07 1.339992533213511701e-07
7.000000000000000000e+00 9.367935494553915987e+01 1.681237507507271634e-01 7.904800910747305284e-04 1.709470508848718659e-07 1.436778680442549788e-07
8.000000000000000000e+00 7.192276353281944523e+01 1.031305678265459352e-01 3.947924814240721405e-04 1.711256431056242626e-07 1.522433279132078633e-07
9.000000000000000000e+00 5.721202051586767823e+01 6.775573822666949853e-02 2.525686690470835749e-04 1.713234044325472094e-07 1.598675855898914157e-07
1.000000000000000000e+01 4.677873069000435891e+01 4.865333384710160414e-02 1.758848770890888427e-04 1.715392714468706960e-07 1.666589800674598651e-07
1.100000000000000000e+01 3.910114541075208194e+01 3.842899317438463330e-02 1.230129977438968142e-04 1.717720896625183239e-07 1.727649215935253070e-07
1.200000000000000000e+01 3.322879691124044399e+01 3.281128052475890816e-02 9.051505437184488643e-05 1.720206215694989531e-07 1.781912238327521559e-07
1.300000000000000000e+01 2.873037453973694610e+01 2.948056775219023637e-02 7.428587994075476670e-05 1.722835552312494276e-07 1.830984873810787557e-07
1.400000000000000000e+01 2.512998529934727543e+01 2.716802570439266762e-02 6.687538989509316640e-05 1.725595133365448362e-07 1.874700319509673877e-07
