# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069481748627244542e+03 2.759150606102628966e+00 3.253282409836797534e-02 1.927822002418737060e-06 7.875287976379428001e-08
3.000000000000000000e+00 5.063491454764277364e+02 1.548817371082549021e+00 2.092396197355962661e-02 1.926360339225941074e-06 9.586888221878070092e-08
4.000000000000000000e+00 2.876753433557025801e+02 8.710843614833642112e-01 1.091052991209490869e-02 1.925517531511351875e-06 1.104734311980882908e-07
5.000000000000000000e+00 1.837668067820954718e+02 4.943965878258531066e-01 4.870385420772649875e-03 1.925255120833598424e-06 1.230942520239158872e-07
6.000000000000000000e+00 1.273259335719717456e+02 2.845009044717110580e-01 1.951493441710523517e-03 1.925391061173537882e-06 1.341136741051603987e-07
7.000000000000000000e+00 9.359448184365213308e+01 1.675711420848401134e-01 7.912215185913255280e-04 1.925766226439430886e-06 1.438092402130357854e-07
8.000000000000000000e+00 7.193404657095791777e+01 1.029003240940250669e-01 3.961772707265262105e-04 1.926292163767357359e-06 1.523913150087283394e-07
9.000000000000000000e+00 5.722570513067933007e+01 6.760496158902340458e-02 2.545184786796634712e-04 1.926930465389416201e-06 1.600226970136030206e-07
1.000000000000000000e+01 4.678328661141716083e+01 4.860963201014265739e-02 1.781623629731177551e-04 1.927664696599261866e-06 1.668322099996631344e-07
1.100000000000000000e+01 3.909695210009614641e+01 3.842110757295989082e-02 1.252698186097412280e-04 1.928484771400061036e-06 1.729244866092388862e-07
1.200000000000000000e+01 3.326856082088555411e+01 3.280714316249304374e-02 9.251076006095691501e-05 1.929382076054575917e-06 1.783840313952448144e-07
1.300000000000000000e+01 2.873835084177523314e+01 2.945419039808895925e-02 7.605198334462233054e-05 1.930348986016465895e-06 1.832835669710910364e-07
1.400000000000000000e+01 2.514299342057969611e+01 2.716259720164586333e-02 6.866978624165431832e-05 1.931378893519673171e-06 1.876850555486503885e-07
