# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069688749540774779e+03 2.762418515401913854e+00 3.258463324714011566e-02 1.922693975554179022e-06 7.885221061517455677e-08
3.000000000000000000e+00 5.065796653377570351e+02 1.549125455781002803e+00 2.094153604652383358e-02 1.922953338487436527e-06 9.586749618840164083e-08
4.000000000000000000e+00 2.877548242354836816e+02 8.718912243575376309e-01 1.092263726960130202e-02 1.923297763279287841e-06 1.104017840995817284e-07
5.000000000000000000e+00 1.837279118197174057e+02 4.950318584366606434e-01 4.876238850527301119e-03 1.923726065932423081e-06 1.230040867934046726e-07
6.000000000000000000e+00 1.272678045989191702e+02 2.850343278592551433e-01 1.953789921840945205e-03 1.924236778682449300e-06 1.339992533213511701e-07
7.000000000000000000e+00 9.368250961295098023e+01 1.681234982174288073e-01 7.922339435010888236e-04 1.924828156186703260e-06 1.436778680442549788e-07
8.000000000000000000e+00 7.192591142293325390e+01 1.031302433779116845e-01 3.965468062418080783e-04 1.925498188703662266e-06 1.522433279132078633e-07
9.000000000000000000e+00 5.721516083041580458e+01 6.775533371414808881e-02 2.543235153745805068e-04 1.926244607880923164e-06 1.598675855898914157e-07
1.000000000000000000e+01 4.678186264746378242e+01 4.865284140939112045e-02 1.776402906137732941e-04 1.927064901842841606e-06 1.666589800674598651e-07
1.100000000000000000e+01 3.910426824792592981e+01 3.842840526610828700e-02 1.247690203817409431e-04 1.927956327457703230e-06 1.727649215935253070e-07
1.200000000000000000e+01 3.323190988475535335e+01 3.281058994376997301e-02 9.227172393923506780e-05 1.928915924783633829e-06 1.781912238327521559e-07
1.300000000000000000e+01 2.873347692744988535e+01 2.947976766552423689e-02 7.604322983957535406e-05 1.929940532780625147e-06 1.830984873810787557e-07
1.400000000000000000e+01 2.513307640165585610e+01 2.716710967283215983e-02 6.863344881259406875e-05 1.931026805385582478e-06 1.874700319509673877e-07
