# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069478215522412256e+03 2.759153334829835824e+00 3.253091300005901687e-02 0.000000000000000000e+00 7.875287976379428001e-08
3.000000000000000000e+00 5.063456054985588253e+02 1.548821170244514711e+00 2.092207820937592999e-02 0.000000000000000000e+00 9.586888221878070092e-08
4.000000000000000000e+00 2.876717699985230183e+02 8.710881620644940204e-01 1.090864848724605596e-02 0.000000000000000000e+00 1.104734311980882908e-07
5.000000000000000000e+00 1.837632160555424434e+02 4.943998803504182638e-01 4.868491616482864721e-03 0.000000000000000000e+00 1.230942520239158872e-07
6.000000000000000000e+00 1.273223401367189211e+02 2.845035374825477525e-01 1.949585777081553391e-03 0.000000000000000000e+00 1.341136741051603987e-07
7.000000000000000000e+00 9.359089668302250686e+01 1.675731583184899010e-01 7.893048866819482460e-04 0.000000000000000000e+00 1.438092402130357854e-07
8.000000000000000000e+00 7.193047739769292548e+01 1.029018562014254734e-01 3.942564454496385478e-04 0.000000000000000000e+00 1.523913150087283394e-07
9.000000000000000000e+00 5.722215717672472834e+01 6.760616859821989844e-02 2.525957006661955716e-04 0.000000000000000000e+00 1.600226970136030206e-07
1.000000000000000000e+01 4.677976332638341006e+01 4.861066227271122059e-02 1.762379914007866470e-04 0.000000000000000000e+00 1.668322099996631344e-07
1.100000000000000000e+01 3.909345569394889708e+01 3.842208026431812029e-02 1.233437066382112306e-04 0.000000000000000000e+00 1.729244866092388862e-07
1.200000000000000000e+01 3.326509265036226992e+01 3.280814293976141993e-02 9.058295453235682337e-05 0.000000000000000000e+00 1.783840313952448144e-07
1.300000000000000000e+01 2.873491169381223287e+01 2.945527045750174350e-02 7.412268728193026671e-05 0.000000000000000000e+00 1.832835669710910364e-07
1.400000000000000000e+01 2.513958370112381502e+01 2.716378661745175518e-02 6.673912225112495320e-05 0.000000000000000000e+00 1.876850555486503885e-07
