# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069685268986375604e+03 2.762418542010274702e+00 3.258271055329241273e-02 0.000000000000000000e+00 7.885221061517455677e-08
3.000000000000000000e+00 5.065761887029738091e+02 1.549125515177877777e+00 2.093961309382515873e-02 0.000000000000000000e+00 9.586749618840164083e-08
4.000000000000000000e+00 2.877513528078482068e+02 8.718913270025483442e-01 1.092071397375975368e-02 0.000000000000000000e+00 1.104017840995817284e-07
5.000000000000000000e+00 1.837244468706045382e+02 4.950320147848020769e-01 4.874315128951973823e-03 0.000000000000000000e+00 1.230040867934046726e-07
6.000000000000000000e+00 1.272643473796751010e+02 2.850345482161820709e-01 1.951865694059793906e-03 0.000000000000000000e+00 1.339992533213511701e-07
7.000000000000000000e+00 9.367906135113146604e+01 1.681237926826477935e-01 7.903091315720488274e-04 0.000000000000000000e+00 1.436778680442549788e-07
8.000000000000000000e+00 7.192247331867218918e+01 1.031306218039091255e-01 3.946213351616834021e-04 0.000000000000000000e+00 1.522433279132078633e-07
9.000000000000000000e+00 5.721173405294376124e+01 6.775580567047051472e-02 2.523973134759270359e-04 0.000000000000000000e+00 1.598675855898914157e-07
1.000000000000000000e+01 4.677844833179486983e+01 4.865341614910846657e-02 1.757132899567621356e-04 0.000000000000000000e+00 1.666589800674598651e-07
1.100000000000000000e+01 3.910086749173051857e+01 3.842909169393339541e-02 1.228411571359614134e-04 0.000000000000000000e+00 1.727649215935253070e-07
1.200000000000000000e+01 3.322852374543482767e+01 3.281139658562989142e-02 9.034293875549193086e-05 0.000000000000000000e+00 1.781912238327521559e-07
1.300000000000000000e+01 2.873010641942822829e+01 2.948070263955226977e-02 7.411346821093219700e-05 0.000000000000000000e+00 1.830984873810787557e-07
1.400000000000000000e+01 2.512972249390162460e+01 2.716818066181274360e-02 6.670266142312682579e-05 0.000000000000000000e+00 1.874700319509673877e-07
