# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069685587783983692e+03 2.762418538150042568e+00 3.258291835705610234e-02 2.078036646965902323e-07 7.889527802973904421e-08
3.000000000000000000e+00 5.065765061647156813e+02 1.549125506555704357e+00 2.093982096881702795e-02 2.078744981021727726e-07 9.592355153884754502e-08
4.000000000000000000e+00 2.877516684982728066e+02 8.718913120905875669e-01 1.092092194357443917e-02 2.079683382068982083e-07 1.104723046117438994e-07
5.000000000000000000e+00 1.837247603626140346e+02 4.950319920485340419e-01 4.874523217055462543e-03 2.080846723960765781e-07 1.230890104031456302e-07
6.000000000000000000e+00 1.272646582565140676e+02 2.850345161336645949e-01 1.952073923755130898e-03 2.082228667247560268e-07 1.340977275132358476e-07
7.000000000000000000e+00 9.367936920831137115e+01 1.681237497510897072e-01 7.905175259637784108e-04 2.083821702419608648e-07 1.437890940722279171e-07
8.000000000000000000e+00 7.192277776581924797e+01 1.031305665440136743e-01 3.948299171184021877e-04 2.085617205595578283e-07 1.523666551404654817e-07
9.000000000000000000e+00 5.721203471555852360e+01 6.775573663015271864e-02 2.526061055913983097e-04 2.087605495154712216e-07 1.600023871555296288e-07
1.000000000000000000e+01 4.677874485291295770e+01 4.865333190697018750e-02 1.759223145087991181e-04 2.089775901735381534e-07 1.668045362271092281e-07
1.100000000000000000e+01 3.910115953347435180e+01 3.842899086261151315e-02 1.230504360432309102e-04 2.092116841887933466e-07 1.729205559615371813e-07
1.200000000000000000e+01 3.322881099044710140e+01 3.281127781505662616e-02 9.055249353203226835e-05 2.094615898681372144e-07 1.783562369351862550e-07
1.300000000000000000e+01 2.873038857217871822e+01 2.948056462014009282e-02 7.432331991829380102e-05 2.097259907836120418e-07 1.832722782844795400e-07
1.400000000000000000e+01 2.512999928185978860e+01 2.716802212756648863e-02 6.691283062010742967e-05 2.100035048422351737e-07 1.876519236078342347e-07
