# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069685573779718879e+03 2.762418538239513666e+00 3.258288058237694684e-02 1.700289834960439456e-07 7.889527802973904421e-08
3.000000000000000000e+00 5.065764921707233839e+02 1.549125506755289372e+00 2.093978319384977305e-02 1.700995206655223897e-07 9.592355153884754502e-08
4.000000000000000000e+00 2.877516545179522041e+02 8.718913124351794774e-01 1.092088416823381453e-02 1.701929670650901742e-07 1.104723046117438994e-07
5.000000000000000000e+00 1.837247463993427914e+02 4.950319925728115522e-01 4.874485441265351965e-03 1.703088111701948289e-07 1.230890104031456302e-07
6.000000000000000000e+00 1.272646443136430179e+02 2.850345168715595623e-01 1.952036147450800794e-03 1.704464203916968120e-07 1.340977275132358476e-07
7.000000000000000000e+00 9.367935528915974430e+01 1.681237507355500260e-01 7.904797490940573650e-04 1.706050454062151796e-07 1.437890940722279171e-07
8.000000000000000000e+00 7.192276387366956669e+01 1.031305678068211579e-01 3.947921396478226946e-04 1.707838256966806316e-07 1.523666551404654817e-07
9.000000000000000000e+00 5.721202085365187173e+01 6.775573820175984086e-02 2.525683275022499270e-04 1.709817952418823411e-07 1.600023871555296288e-07
1.000000000000000000e+01 4.677873102444436171e+01 4.865333381634673326e-02 1.758845358031345385e-04 1.711978894908655090e-07 1.668045362271092281e-07
1.100000000000000000e+01 3.910114574158836120e+01 3.842899313709913917e-02 1.230126567447888759e-04 1.714309527287160032e-07 1.729205559615371813e-07
1.200000000000000000e+01 3.322879723823360365e+01 3.281128048023070065e-02 9.051471368808079569e-05 1.716797461284653755e-07 1.783562369351862550e-07
1.300000000000000000e+01 2.873037486266897744e+01 2.948056769967905347e-02 7.428553960138287464e-05 1.719429563577587043e-07 1.832722782844795400e-07
1.400000000000000000e+01 2.512998561802269748e+01 2.716802564312885068e-02 6.687504992972659866e-05 1.722192046404017089e-07 1.876519236078342347e-07
