# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069481128395847691e+03 2.759148783880683187e+00 3.253282013594676475e-02 1.924347660011282934e-06 7.868153707637078417e-08
3.000000000000000000e+00 5.063487820999649784e+02 1.548816472219785023e+00 2.092395774108934264e-02 1.922887271844060638e-06 9.581925070790696465e-08
4.000000000000000000e+00 2.876751164693143323e+02 8.710838217093818114e-01 1.091052566082439945e-02 1.922045355800765328e-06 1.104397817174434456e-07
5.000000000000000000e+00 1.837666576823517062e+02 4.943962704233295646e-01 4.870381691680866244e-03 1.921783563534186571e-06 1.230754760514414638e-07
6.000000000000000000e+00 1.273258316591462886e+02 2.845007320069048995e-01 1.951489948798842706e-03 1.921920003972291337e-06 1.341088575413704251e-07
7.000000000000000000e+00 9.359440757665275612e+01 1.675710375803662333e-01 7.912180659676036664e-04 1.922295654927440421e-06 1.438181409653177394e-07
8.000000000000000000e+00 7.193398851890826506e+01 1.029002590124536154e-01 3.961738064760692382e-04 1.922822107532584541e-06 1.524129768572752914e-07
9.000000000000000000e+00 5.722565957224849598e+01 6.760491628883998072e-02 2.545149925298912383e-04 1.923460965791222846e-06 1.600558460400793073e-07
1.000000000000000000e+01 4.678324979087568636e+01 4.860958951911126258e-02 1.781588710643665081e-04 1.924195795702145240e-06 1.668758217930356332e-07
1.100000000000000000e+01 3.909692207289690913e+01 3.842107149199142785e-02 1.252663407768827761e-04 1.925016509744375787e-06 1.729774935709078192e-07
1.200000000000000000e+01 3.326853584524429408e+01 3.280711724654025024e-02 9.250729987225799335e-05 1.925914492924098659e-06 1.784461793049405657e-07
1.300000000000000000e+01 2.873833131236908400e+01 2.945417157067243413e-02 7.604853583510195743e-05 1.926882119555777456e-06 1.833549565420511797e-07
1.400000000000000000e+01 2.514297629370835097e+01 2.716258227085738622e-02 6.866633832009960627e-05 1.927912780468575645e-06 1.877647114219395875e-07
