# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069688751990810943e+03 2.762418515381062534e+00 3.258463027181787014e-02 1.919718653099535925e-06 7.889527802973904421e-08
3.000000000000000000e+00 5.065796677845827958e+02 1.549125455734426948e+00 2.094153307148861540e-02 1.919978302237607246e-06 9.592355153884754502e-08
4.000000000000000000e+00 2.877548266780484596e+02 8.718912242769787380e-01 1.092263429494808209e-02 1.920323106989523606e-06 1.104723046117438994e-07
5.000000000000000000e+00 1.837279142569870771e+02 4.950318583138205164e-01 4.876235876350464883e-03 1.920751881958327291e-06 1.230890104031456302e-07
6.000000000000000000e+00 1.272678070298801458e+02 2.850343276858980923e-01 1.953786948234121322e-03 1.921263157644542313e-06 1.340977275132358476e-07
7.000000000000000000e+00 9.368251203661395721e+01 1.681234979854161204e-01 7.922309705570066123e-04 1.921855186643953025e-06 1.437890940722279171e-07
8.000000000000000000e+00 7.192591383833691054e+01 1.031302430792236935e-01 3.965438340521405185e-04 1.922525956838969980e-06 1.523666551404654817e-07
9.000000000000000000e+00 5.721516323663041703e+01 6.775533334090286242e-02 2.543205440297916387e-04 1.923273197198628319e-06 1.600023871555296288e-07
1.000000000000000000e+01 4.678186504359459974e+01 4.865284095386161745e-02 1.776373202029616326e-04 1.924094392881095017e-06 1.668045362271092281e-07
1.100000000000000000e+01 3.910427063311630036e+01 3.842840472073867641e-02 1.247660509924827289e-04 1.924986797516749875e-06 1.729205559615371813e-07
1.200000000000000000e+01 3.323191225818973038e+01 3.281058930119135769e-02 9.226875565742600116e-05 1.925947447671058373e-06 1.783562369351862550e-07
1.300000000000000000e+01 2.873347928835655551e+01 2.947976691856982190e-02 7.604026274927058011e-05 1.926973178575709491e-06 1.832722782844795400e-07
1.400000000000000000e+01 2.513307874930946184e+01 2.716710881455191087e-02 6.863048299584756644e-05 1.928060640222830824e-06 1.876519236078342347e-07
