# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.069477593997359463e+03 2.759151512949270302e+00 3.253091251341827528e-02 0.000000000000000000e+00 7.868153707637078417e-08
3.000000000000000000e+00 5.063452407949008034e+02 1.548820271879000288e+00 2.092207745408345559e-02 0.000000000000000000e+00 9.581925070790696465e-08
4.000000000000000000e+00 2.876715417858995352e+02 8.710876228206252403e-01 1.090864771270799900e-02 0.000000000000000000e+00 1.104397817174434456e-07
5.000000000000000000e+00 1.837630656316640625e+02 4.943995634538242423e-01 4.868491362651533767e-03 0.000000000000000000e+00 1.230754760514414638e-07
6.000000000000000000e+00 1.273222369047842051e+02 2.845033654767779585e-01 1.949585757820080333e-03 0.000000000000000000e+00 1.341088575413704251e-07
7.000000000000000000e+00 9.359082110439135249e+01 1.675730542239648457e-01 7.893049063663872206e-04 0.000000000000000000e+00 1.438181409653177394e-07
8.000000000000000000e+00 7.193041804331201661e+01 1.029017914909548248e-01 3.942564524477296735e-04 0.000000000000000000e+00 1.524129768572752914e-07
9.000000000000000000e+00 5.722211032659445351e+01 6.760612364643626970e-02 2.525956848524399932e-04 0.000000000000000000e+00 1.600558460400793073e-07
1.000000000000000000e+01 4.677972522563738522e+01 4.861062012496674550e-02 1.762379689503576529e-04 0.000000000000000000e+00 1.668758217930356332e-07
1.100000000000000000e+01 3.909342439864440166e+01 3.842204453845578932e-02 1.233436973761654291e-04 0.000000000000000000e+00 1.729774935709078192e-07
1.200000000000000000e+01 3.326506641905901773e+01 3.280811740531703463e-02 9.058296200983357747e-05 0.000000000000000000e+00 1.784461793049405657e-07
1.300000000000000000e+01 2.873489092142397183e+01 2.945525204958131943e-02 7.412270651142289872e-05 0.000000000000000000e+00 1.833549565420511797e-07
1.400000000000000000e+01 2.513956534384538699e+01 2.716377215321299013e-02 6.673914010542811282e-05 0.000000000000000000e+00 1.877647114219395875e-07
